,Name,Description,URL,Papers,Discipline,Underlying Approach,Cost,Supports,Highest Citation Count,Website status
59,SyRF: Systematic Review Facility,"SyRF is a fully integrated online platform for performing systematic reviews of preclinical studies. SyRF provides a secure screening database, repository and analysis applications. It also provides educational resources on how to conduct and report a systematic review and guidance on preclinical systematic review and meta-analysis.",http://syrf.org.uk/,"{'Machine learning algorithms for systematic review: reducing workload in a preclinical review of animal studies and reducing human screening error': {'url': 'https://systematicreviewsjournal.biomedcentral.com/articles/10.1186/s13643-019-0942-7', 'ss_id': 'e1e48e1ff640ec9bd3c5b61c9f30c0957b61dec6', 'citation_count': 37}}",['Healthcare'],['Machine Learning'],['Completely Free'],"['Study Selection', 'Data Extraction', 'Automated Analysis', 'Collaboration']",37.0,200
60,TaskExchange,"Cochrane TaskExchange is a collaboration tool that connects people who need help or advice on health evidence projects with people who have the time and expertise to assist. People needing help post a task and people wanting to help out respond to tasks of interest. Most common tasks types are data screening, data extraction, consumer tasks and translation. Anyone can sign up to use the platform.",https://taskexchange.cochrane.org/,{},['Healthcare'],['Other'],['Completely Free'],"['Protocol Development', 'Study Selection', 'Quality Assessment', 'Data Extraction', 'Automated Analysis', 'Report Write Up', 'Collaboration', 'Document Management']",,200
61,litsearchr,"litsearchr is an R package that uses text-mining and keyword co-occurrence networks to identify important terms to include in a search strategy. It can automatically write Boolean search strings in up to 53 different languages, with stemming support for English. It also automatically assembles and deduplicates search results from a set of commonly used databases and bibliography formats for systematic reviews. To assess the quality of a search, it can also check the results of a search against a set of known, relevant articles to get performance metrics.",https://elizagrames.github.io/litsearchr,"{'An automated approach to identifying search terms for systematic reviews using keyword co-occurrence networks': {'url': 'https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/2041-210X.13268', 'ss_id': '2d829c524dd90d674b64a3b4efc3eb3292009702', 'citation_count': 16}}",['Multidiscipline'],"['Text Mining', 'Ontology', 'Search Tool']",['Completely Free'],['Automated Analysis'],16.0,200
62,BioBERT,"BioBERT (Bidirectional Encoder Representations from Transformers for Biomedical Text Mining), is a domain-specific language representation model pre-trained on large-scale biomedical corpora.  A pre-trained version of the tool is available, as well as the source code for researchers wishing to “fine tune” the tool themselves.",https://github.com/naver/biobert-pretrained,"{'BioBERT: a pre-trained biomedical language representation model for biomedical text mining': {'url': 'https://arxiv.org/abs/1901.08746', 'ss_id': '1e43c7084bdcb6b3102afaf301cce10faead2702', 'citation_count': 1196}}",['Healthcare'],['Text Mining'],['Completely Free'],['Text Analysis'],1196.0,200
63,Cientopolis Scolr,"Cientopolis Scolr supports collaboration in the process of conducting open, literature reviews.",http://scolr.cientopolis.org/,{},['Multidiscipline'],['Whole Process'],['Completely Free'],['Collaboration'],,200
64,Statcheck,"statcheck is a program that checks for errors in statistical reporting in APA-formatted documents. It was originally written in the R programming language. statcheck/web is a web-based implementation of statcheck. Using statcheck/web, you can check any PDF for statistical errors without installing the R programming language on your computer.
To use statcheck/web, simply upload a PDF or HTML file of your APA-formatted document. The output will identify any errors in statistical reporting that can be identified. ",http://statcheck.io/index.php,"{'“statcheck”: Automatically detect statistical reporting inconsistencies to increase reproducibility of meta-analyses': {'url': 'https://onlinelibrary.wiley.com/doi/10.1002/jrsm.1408', 'ss_id': '83100370d644ce373a6cffb8ad582f3783b7e51a', 'citation_count': 0}}",['Multidiscipline'],['Other'],['Completely Free'],['Quality Assessment'],0.0,200
65,ReLiS,ReLiS is a highly configurable tool to conduct systematic reviews collaboratively and iteratively on the cloud.,http://relis.iro.umontreal.ca/,"{'Modeling a Tool for Conducting Systematic Reviews Iteratively': {'url': 'http://dx.doi.org/10.5220/0006664405520559', 'ss_id': '066f94248fabe7b2aeef7c9be2f93ac857de8ca9', 'citation_count': 4}}",['Multidiscipline'],"['Visualization', 'Whole Process', 'Reference Management', 'Other']",['Completely Free'],"['Protocol Development', 'Study Selection', 'Quality Assessment', 'Data Extraction', 'Automated Analysis', 'Meta Analysis', 'Collaboration']",4.0,200
66,OmixLitMiner,"Proteomics and genomics discovery experiments generate increasingly large result tables, necessitating more researcher time to convert the biological data into new knowledge. Literature review is an important step in this process. To streamline and formalise this process of literature retrieval and analysis of discovery based ‘omics data and as a decision-facilitating support tool for follow-up experiments, OmixLitMiner has been created, a package written in the computational language R. The tool automates the retrieval of literature from PubMed based on UniProt protein identifiers, gene names and their synonyms, combined with user defined contextual keyword search (i.e., gene ontology based). The search strategy is programmed to allow either focused or broader literature retrieval and the outputs are assigned to three categories describing how well characterized a regulated gene or protein is. The category helps to meet a decision, regarding which gene/protein follow-up experiments may be performed for gaining new knowledge and to exclude following already known biomarkers.",https://github.com/Sydney-Informatics-Hub/OmixLitMiner,"{'OmixLitMiner - A Bioinformatics Tool for Prioritizing Biological Leads from ‘Omics Data Using Literature Retrieval and Data Mining': {'url': 'https://www.mdpi.com/1422-0067/21/4/1374/htm', 'ss_id': 'cf77117a7bc40d3698e7e516a3b36020cd7aff72', 'citation_count': 2}}",['Healthcare'],['Search Tool'],['Completely Free'],['Automated Search'],2.0,200
67,Pimiento,A general framework for text mining.,https://ieeexplore.ieee.org/document/1704753,"{'Automatic text classification to support systematic reviews in medicine': {'url': 'http://www.sciencedirect.com/science/article/pii/S0957417413006684', 'ss_id': 'ac931d2cd120305f61af7967f9f2ce7f61a8e0c9', 'citation_count': 89}}",['Healthcare'],"['Text Mining', 'Machine Learning']","['Completely Free', 'Free Version Available']","['Study Selection', 'Text Analysis']",89.0,200
68,Lingo3G: text document clustering engine,"Lingo3G is a software component that organizes collections of text documents into clearly-labeled hierarchical thematic folders called clusters. In real-time, fully automatically and without external knowledge bases.",https://carrotsearch.com/lingo3g-overview,"{'Clustering documents automatically to support scoping reviews of research: a case study': {'url': 'http://onlinelibrary.wiley.com/doi/10.1002/jrsm.1082/abstract', 'ss_id': '1166c6d91b975486ba816cfd5d49dc3a6e836a19', 'citation_count': 15}}",['Multidiscipline'],['Text Mining'],"['Free Trial', 'Payment Required']","['Study Selection', 'Data Extraction', 'Automated Analysis', 'Text Analysis']",15.0,200
69,metamisc,"Meta-analysis of diagnostic and prognostic modeling studies. Summarize estimates of prognostic factors, diagnostic test accuracy and prediction model performance. Validate, update and combine published prediction models. Develop new prediction models with data from multiple studies.",https://cran.r-project.org/web/packages/metamisc/index.html,"{""Package 'metamisc' documentation"": {'url': 'https://cran.r-project.org/web/packages/metamisc/metamisc.pdf', 'ss_id': '4835ecf8a5110e94f89e28ac2aca7708cc1beedf', 'citation_count': 1}}",['Healthcare'],['Other'],['Completely Free'],['Meta Analysis'],1.0,200
70,MetaWin,MetaWin is a statistical software package for conducting and evaluating data in a meta-analytic framework.,https://en.freedownloadmanager.org/Windows-PC/MetaWin.html,{},['Multidiscipline'],['Other'],['Payment Required'],['Meta Analysis'],,200
71,Epistemonikos,"Collaborative, multi-lingual database of systematic reviews in health. Search results link to the primary studies included in the systematic review, therefore aiming to provide an efficient method of searching.",http://www.epistemonikos.org/en/about_us/who_we_are,{},['Healthcare'],['Search Tool'],['Completely Free'],"['Protocol Development', 'Automated Search']",,200
72,PEx,Project Explorer (PEx) is a visualization tool providing several text handling facilities.,http://vicg.icmc.usp.br/vicg/tool/1/projection-explorer-pex,"{'A Visual Text Mining Approach for Systematic Reviews': {'url': 'http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=4343752', 'ss_id': 'bd251014fec821ec9432ab19ab54363d750e57d8', 'citation_count': 90}, 'An Approach Based on Visual Text Mining to Support Categorization and Classification in the Systematic Mapping': {'url': 'https://www.scienceopen.com/hosted-document?doi=10.14236/ewic/EASE2010.5', 'ss_id': '96f8eb65f9f828020fd9f3d7fa521d0025345bb8', 'citation_count': 42}, 'A visual analysis approach to validate the selection review of primary studies': {'url': 'http://www.sciencedirect.com/science/article/pii/S0950584912000742', 'ss_id': 'ffcf75cd8e5ec6cbbb7057994cf2e1300a7f2b35', 'citation_count': 48}}",['Software Engineering'],"['Visualization', 'Text Mining', 'Visual Text Mining']","['Completely Free', 'Free Version Available']","['Study Selection', 'Automated Analysis', 'Report Write Up']",90.0,200
73,EPPI-Reviewer,Web-based tool for managing and analysing data in systematic reviews.,http://eppi.ioe.ac.uk/cms/Default.aspx?tabid=3396,{},"['Healthcare', 'Social Science']",['Whole Process'],"['Free Trial', 'Payment Required']","['Study Selection', 'Data Extraction', 'Automated Analysis', 'Text Analysis', 'Meta Analysis', 'Collaboration', 'Document Management']",,200
74,Review Manager (RevMan),Tool used for preparing and maintaining Cochrane Reviews.,https://training.cochrane.org/online-learning/core-software-cochrane-reviews/revman/revman-5-download,"{'Meta analysis and RevMan software': {'url': 'http://en.cnki.com.cn/Article_en/CJFDTotal-YXTS200903024.htm', 'ss_id': '6ee58ded7590ed520c28993f934c2375e79022ef', 'citation_count': 1}, 'Effect of long-chain polyunsaturated fatty acid supplementation of preterm infants on disease risk and neurodevelopment: a systematic review of randomized controlled trials': {'url': 'http://ajcn.nutrition.org/content/87/4/912.full', 'ss_id': '639c9b4599342bed9d9bc1ccdbde1e0c2a958490', 'citation_count': 112}}",['Healthcare'],['Whole Process'],['Free Version Available'],"['Protocol Development', 'Study Selection', 'Automated Analysis', 'Meta Analysis', 'Report Write Up', 'Document Management']",112.0,200
75,revtools,"revtools is a new software package currently being developed by Martin Westgate, a postdoc at the Australian National University in Canberra.  The tool aims to produce interactive visualisation of patterns in bibliographic data to support systematic reviews and meta-analyses, allowing users to quickly get a feel for patterns in collections of articles, and to select those entries of most interest to them. The developer states that this is brand new software, so use it at your own risk for now; but more updates are planned. You can download the tool from Github.",https://revtools.net/,"{'revtools - An R package to support article screening for evidence synthesis': {'url': 'https://onlinelibrary.wiley.com/doi/abs/10.1002/jrsm.1374', 'ss_id': 'ee25c5c8b3b90606c38e74a6a0f99e4bd0e59644', 'citation_count': 22}}",['Multidiscipline'],"['Visualization', 'Text Mining']",['Completely Free'],"['Study Selection', 'Text Analysis']",22.0,200
76,Web-based AMSTAR Checklist,An online form to assess the quality of systematic reviews. Calculates an AMSTAR (A Measurement Tool to Assess Systematic Reviews) reliability score.,http://amstar.ca/Amstar_Checklist.php,"{'Development of AMSTAR: a measurement tool to assess the methodological quality of systematic reviews': {'url': 'http://www.biomedcentral.com/1471-2288/7/10.', 'ss_id': 'a0ba643473c09ec3349ce408672971a18ee28fc4', 'citation_count': 3194}, 'AMSTAR is a reliable and valid measurement tool to assess the methodological quality of systematic reviews': {'url': 'http://www.sciencedirect.com/science/article/pii/S0895435608003259', 'ss_id': '4955fa8c301e550defea3443ecf0a7598af77f12', 'citation_count': 1385}, 'Authors should clearly report how they derived the overall rating when applying AMSTAR 2—a cross-sectional study': {'url': 'https://www.sciencedirect.com/science/article/abs/pii/S0895435620311409', 'ss_id': 'fc979aa818df5026d051dfa3d2f90ebc49189802', 'citation_count': 5}}",['Healthcare'],['Other'],"['Completely Free', 'Free Version Available']","['Quality Assessment', 'Report Write Up']",3194.0,403
77,Engauge Digitizer,"Digitizing software tool which converts an image file showing a graph or map, into numbers.",http://sourceforge.net/projects/digitizer/?source=directory,{},['Multidiscipline'],"['Visualization', 'Other']","['Completely Free', 'Free Version Available']",['Data Extraction'],,200
78,Docear,"What its developers call an ""academic literature suite"". Docear is, primarily, a reference management system, with some interesting (qualitative) analysis features using classification and mapping techniques.",http://www.docear.org/software/details/,"{'Utilizing Mind-Maps for Information Retrieval and User Modelling': {'url': 'http://docear.org/papers/utilizing_mind-maps_for_information_retrieval_and_user_modelling.pdf', 'ss_id': '961ddfb5b1ae54db74e13ef81ac25be483522d8c', 'citation_count': 19}, 'Docear: An Academic Literature Suite for Searching, Organizing and Creating Academic Literature': {'url': 'https://www.docear.org/papers/docear_-_an_academic_literature_suite_--_preprint.pdf', 'ss_id': 'a2bb755f4b852dcde5eb6529226c5c151dcb3b1f', 'citation_count': 45}}",['Multidiscipline'],['Reference Management'],"['Completely Free', 'Free Version Available']","['Automated Analysis', 'Report Write Up', 'Document Management']",45.0,200
79,TextBlob: Simplified Text Processing,"TextBlob is a Python (2 and 3) library for processing textual data. It provides a simple API for diving into common natural language processing (NLP) tasks such as part-of-speech tagging, noun phrase extraction, sentiment analysis, classification, translation, and more.",https://textblob.readthedocs.io/en/dev/,"{'Analyzing the attitude of Indian citizens towards COVID-19 vaccine – A text analytics study': {'url': 'https://www.sciencedirect.com/science/article/pii/S1871402121000618', 'ss_id': 'f5f4ace06c22c97bee71f248a9c7eca376c6b14b', 'citation_count': 3}}",['Multidiscipline'],['Text Mining'],['Completely Free'],['Text Analysis'],3.0,200
80,GRIM (granularity-related inconsistency of means) test calculator,Web-based calculator to carry out a GRIM test. GRIM test is a simple test for possible inadvertent as well as deliberate errors in research data.,http://www.prepubmed.org/grim_test/,{},['Multidiscipline'],['Other'],['Completely Free'],['Automated Analysis'],,200
81,Research Screener,Research Screener is a cloud-hosted Web application and algorithm that semi-automates abstract screening for systematic reviews. The algorithm applies deep learning and natural language processing methods to represent abstracts as text embeddings.,https://researchscreener.com/,"{'Research Screener: a machine learning tool to semi-automate abstract screening for systematic reviews': {'url': 'https://systematicreviewsjournal.biomedcentral.com/articles/10.1186/s13643-021-01635-3', 'ss_id': 'c79618eec309b9ae3c61c0cfc0215de89943967c', 'citation_count': 0}}",['Multidiscipline'],"['Text Mining', 'Machine Learning']",['No Cost Found. '],['Study Selection'],0.0,200
82,JSTOR Text Analyser,"JSTOR Text Analyser allows you to upload a document and will analyse the text to find the key topics and terms used. JSTOR Text Analyser then priortises these terms and uses the ones it deems most important to find similar content (articles, book chapters etc) in JSTOR. You can refine the search results, by adding, removing or adjusting the priority of terms.",http://www.jstor.org/analyze/,{},['Multidiscipline'],"['Text Mining', 'Search Tool']",['Completely Free'],"['Protocol Development', 'Automated Search', 'Text Analysis']",,420
83,A2A (Apples to Apples),"A2A is a search and benchmarking tool which is publicly available for the researchers who want to explore different search strategies to retrieve published biomedical literature. It provides a web-based Graphical User Interface (GUI), allowing users to define and execute biomedical information retrieval (IR) experiments and explore their evaluation results.  A2A enables the evaluation of query formulation techniques within a predefined, yet parameterisable, framework.  A2A’s GUI provides access to an extensible Python-based pipeline system which instantiates and evaluates IR systems with pre-indexed TREC collections, including a snapshot of PubMed articles. This means users can establish baselines and evaluate query expansion strategies.  In order to use A2A, users will need to register for an online account on the system.",https://a2a.csiro.au/benchmarking/about,"{'A2A - a platform for research in biomedical literature search': {'url': 'https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-020-03894-8', 'ss_id': 'd8e009f33fafefbd5744daecf592795fb39b5438', 'citation_count': 0}}",['Healthcare'],['Search Tool'],['Completely Free'],"['Protocol Development', 'Automated Search']",0.0,200
84,StArt,State of the Art through systematic review (StArt) aims to provide support for each stage of the SR process in software engineering.,http://lapes.dc.ufscar.br/tools/start_tool,"{'Using GQM and TAM to evaluate StArt - a tool that supports Systematic Review': {'url': 'http://www.scielo.edu.uy/pdf/cleiej/v15n1/v15n1a03.pdf', 'ss_id': '1faa98caf3796e4b4ff4d876d326d5a36fefa9f4', 'citation_count': 73}}",['Software Engineering'],['Whole Process'],"['Completely Free', 'Free Version Available']","['Protocol Development', 'Automated Search', 'Study Selection', 'Data Extraction', 'Automated Analysis', 'Text Analysis', 'Report Write Up', 'Document Management']",73.0,200
85,RobotSearch,"Front-end for a machine learning model that identifies reports of randomized controlled articles (RCTs), from the developers of RobotReviewer",https://robotsearch.vortext.systems/,"{""Machine learning for identifying Randomized Controlled Trials: An evaluation and practitioner's guide"": {'url': 'https://onlinelibrary.wiley.com/doi/full/10.1002/jrsm.1287', 'ss_id': 'b646ba235ba49ed545c7903dd033b50e3fa99f34', 'citation_count': 112}}",['Healthcare'],['Machine Learning'],['Completely Free'],['Study Selection'],112.0,200
86,BioReader 1.2 (Biomedical Research Article Distiller),"BioReader is a tool that enables users to perform classification of scientific literature by text mining-based classification of article abstracts. The tool is trained by uploading article corpora for two training categories - e.g. one positive and one negative for content of interest - as well as one corpus of abstracts to be classified and/or a search string to query PubMed for articles. The corpora are submitted as lists of PubMed IDs and the abstracts are automatically downloaded from PubMed, preprocessed, and the unclassified corpus is classified using the best performing classification algorithm out of ten implemented algorithms.  BioReader is freely available as a web service.",https://services.healthtech.dtu.dk/service.php?BioReader-1.2,"{'BioReader: a text mining tool for performing classification of biomedical literature': {'url': 'https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-019-2607-x', 'ss_id': '26ffb9e5d6c370b4ac32bf456ad018242c6fd028', 'citation_count': 18}}",['Healthcare'],['Text Mining'],['Completely Free'],"['Study Selection', 'Text Analysis']",18.0,200
87,Comparative Toxicogenomics Database (CTD),"CTD is a publicly available database that aims to advance understanding about how environmental exposures affect human health. It provides manually curated information about chemical–gene/protein interactions, chemical–disease and gene–disease relationships. These data are integrated with functional and pathway data to aid in development of hypotheses about the mechanisms underlying environmentally influenced diseases.  Direct links to the relevant literature are included via DOIs and PubMed IDs.  CTD may be a useful resource for systematic reviews relating to environmental exposures and the effect on general health or specific outcomes.",http://ctdbase.org/,"{'Comparative Toxicogenomics Database (CTD): update 2021': {'url': 'https://pubmed.ncbi.nlm.nih.gov/33068428/', 'ss_id': '60410ec07fe7dfcec71cd6eacd8cb75caa27fabd', 'citation_count': 36}, 'Elucidating the influence of environmentally relevant toxic metal mixture on molecular mechanisms involved in the development of neurodegenerative diseases: In silico toxicogenomic data-mining': {'url': 'https://www.sciencedirect.com/science/article/pii/S0013935121000219', 'ss_id': 'e7df13cce2f9356898d99fd61b10ca5f02042156', 'citation_count': 1}}",['Healthcare'],['Search Tool'],['Completely Free'],"['Protocol Development', 'Automated Search']",36.0,200
88,Drug-Gene Interaction Database (DGIdb),"The Drug-Gene Interaction Database (DGIdb) is a web resource that provides information on drug-gene interactions and druggable genes from publications, databases, and other web-based sources. Drug, gene, and interaction data are normalized and merged into conceptual groups.  Direct links are provided to the relevant literature via PubMed reference numbers (PMIDs). The information contained in this resource is available to users through a straightforward search interface, an application programming interface (API), and TSV data downloads.  DGIdb is an open-source project and the developers welcome feedback via their GitHub page.  DGIdb may be useful to systematic reviews requiring the retrieval of data on adverse effects.",https://www.dgidb.org/,"{'Integration of the Drug-Gene Interaction Database (DGIdb 4.0) with open crowdsource efforts': {'url': 'https://pubmed.ncbi.nlm.nih.gov/33237278/', 'ss_id': '749ad05a40f668e597faa60a815aded780224e4d', 'citation_count': 16}}",['Healthcare'],['Search Tool'],['Completely Free'],['Automated Search'],16.0,200
89,Doctor Evidence,"Diverse suite of tools that allows users to conduct PICO-based searches of published research, access methodically extracted and digitized data, analyze evidence, compare drug labels, and monitor research trends",https://drevidence.com/products/,{},['Healthcare'],['Machine Learning'],['Payment Required'],"['Automated Search', 'Data Extraction', 'Automated Analysis']",,200
90,Practical Meta-Analysis Effect Size Calculator,A web-based meta-analysis effect size calculator designed to support the computation of effect-sizes for meta-analysis.,https://www.campbellcollaboration.org/escalc/html/EffectSizeCalculator-ESTypes.php,{},['Multidiscipline'],['Other'],"['Completely Free', 'Free Version Available']",['Meta Analysis'],,200
91,Parsifal,Web-based tool which supports multiple stages of a systematic review in software engineering.,https://parsif.al,{},['Software Engineering'],['Whole Process'],['Completely Free'],"['Protocol Development', 'Automated Search', 'Study Selection', 'Quality Assessment', 'Data Extraction', 'Collaboration', 'Document Management']",,200
92,Citation and Text-Based Framework for Retrieving Publications for Literature Reviews,"A citation- and text-based framework to conduct literature review searches, which is in its first implementation.  The proposed framework retrieves papers from a set of seed articles through citation relationships, then ?lters the papers using citation and text-based methods.  Further testing of the performance and utility of the framework is warranted, but preliminary results suggest that a hybrid citation- and text-based approach can be a useful strategy in supporting literature reviews.",https://github.com/janinaj/lit-review-search,"{'Testing a Citation and Text-Based Framework\nfor Retrieving Publications for Literature\nReviews': {'url': 'http://ceur-ws.org/Vol-2080/paper3.pdf', 'ss_id': '00a16d6f1cced7bf97e8c9d36c48426b62ef616e', 'citation_count': 6}}",['Multidiscipline'],['Search Tool'],['Completely Free'],['Automated Search'],6.0,200
93,MeSH on Demand,MeSH on Demand finds MeSH terms relevant to the text you copy and paste into the tool (such as an abstract).  MeSH on Demand is easy to use without any prior knowledge of the MeSH vocabulary and without any downloads.  There is a “Helpful Hints” section on the homepage that can help to improve your results.,https://www.nlm.nih.gov/pubs/techbull/mj14/mj14_mesh_on_demand.html,"{'A Prospective Comparison of Evidence Synthesis Search Strategies Developed With and Without Text-Mining Tools': {'url': 'https://www.sciencedirect.com/science/article/pii/S0895435621000858#bib0016', 'ss_id': 'da4b42f3fec466058bc127743db103eff2af1aa2', 'citation_count': 0}}",['Healthcare'],['Text Mining'],['Completely Free'],['Automated Search'],0.0,200
94,Zotero,"Tool to help collect, organise, cite and share research sources.",https://www.zotero.org/,{},['Multidiscipline'],['Reference Management'],"['Completely Free', 'Free Version Available']","['Collaboration', 'Document Management']",,200
95,The albatross plot,"The albatross plot is a graphical tool for presenting results of diversely reported studies in a systematic review.  The plot allows an approximate examination of underlying effect sizes and the potential to identify sources of heterogeneity across studies. This is achieved by drawing contours showing the range of effect sizes that might lead to each P value for given sample sizes, under simple study designs. The Stata code to generate an albatross plot is available to download using the Stata package name albatross (type “ssc install albatross” in Stata to download).",https://ideas.repec.org/c/boc/bocode/s458296.html,"{'The albatross plot: A novel graphical tool for presenting results of diversely reported studies in a systematic review': {'url': 'http://onlinelibrary.wiley.com/doi/10.1002/jrsm.1239/full', 'ss_id': '652960b1cb99ff55790f0fea72c489996a21490d', 'citation_count': 43}}",['Healthcare'],['Visualization'],['Payment Required'],"['Data Extraction', 'Meta Analysis', 'Report Write Up']",43.0,200
96,Evidence Base,Evidence Base is a research hub that helps your team collaboratively assess the strength of evidence.,https://goevidencebase.com/,{},['Social Science'],"['Visualization', 'Other']","['Completely Free', 'Free Version Available']",['Quality Assessment'],,200
97,PhenX Toolkit,"The PhenX Toolkit (consensus measures for Phenotypes and eXposures) provides recommended standard data collection protocols for conducting biomedical research. The protocols are selected by Working Groups of domain experts using a consensus process, which includes the scientific community. The Toolkit provides detailed protocols for collecting data and tools to help investigators incorporate these protocols into their studies. Using protocols from the PhenX Toolkit facilitates cross-study analysis, potentially increasing the scientific impact of individual studies.",https://www.phenxtoolkit.org/index.php,"{'The PhenX Toolkit: Establishing Standard Measures for COVID-19 Research': {'url': 'https://currentprotocols.onlinelibrary.wiley.com/doi/10.1002/cpz1.111', 'ss_id': '3aba6e18c832d364311325cfa56b3a6cb8e3e5e8', 'citation_count': 0}}",['Healthcare'],['Search Tool'],['Completely Free'],['Automated Search'],0.0,200
98,NimbleMiner,"NimbleMiner is a multilingual text-mining application. NimbleMiner's architecture is language agnostic and it can be potentially applied in multiple languages, including English and Hebrew. NimbleMiner has shown good results in terms of text classification performance when compared to other natural language processing approaches.",https://github.com/mtopaz/NimbleMiner,"{'NimbleMiner: A Novel Multi-Lingual Text Mining Application': {'url': 'http://ebooks.iospress.nl/publication/52323', 'ss_id': '693d0e5d77c89a672409d0953254403cc16e0ca0', 'citation_count': 0}}",['Multidiscipline'],['Text Mining'],['Completely Free'],['Text Analysis'],0.0,200
99,CitNetExplorer,Tool for analyzing and visualizing citation networks.,http://www.citnetexplorer.nl/Features,"{'CitNetExplorer: A new software tool for analyzing and visualizing citation networks': {'url': 'http://www.sciencedirect.com/science/article/pii/S1751157714000662#', 'ss_id': '87f862e234e594dab4e61dea7701a3abdffd89a5', 'citation_count': 251}, 'Citation-based clustering of publications using CitNetExplorer and VOSviewer': {'url': 'https://link.springer.com/article/10.1007/s11192-017-2300-7', 'ss_id': 'f3782c403afee5d154f8fd72ca7a375abae341e8', 'citation_count': 305}}",['Multidiscipline'],['Visualization'],['Free Version Available'],['Automated Analysis'],305.0,200
100,Site Content Analyzer,An entity recognition tool to support automated information extraction.,http://www.cleverstat.com/en/sca-website-analysis-software-index.htm,"{'Automated Information Extraction from Empirical Software Engineering Literature: Is that possible?': {'url': 'http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=4343789', 'ss_id': '7605b9fb21940ed4b214f08f2320f851c17d26da', 'citation_count': 24}}",['Software Engineering'],['Text Mining'],"['Free Trial', 'Payment Required']","['Automated Analysis', 'Text Analysis']",24.0,404
101,DBPedia,A resource description framework repository to support automated selection of primary studies.,https://www.dbpedia.org/,"{'Linked Data approach for selection process automation in Systematic Reviews': {'url': 'http://porto.polito.it/2381987/1/semanticreview.pdf', 'ss_id': 'd5ad960bd575cf2e02ed1bea02ad44ad36c01547', 'citation_count': 33}}",['Software Engineering'],['Text Mining'],"['Completely Free', 'Free Version Available']",['Study Selection'],33.0,200
102,Aigaion,"A PHP/MySQL based reference management system, which structures a bibliography using topic tree oriented publication management.",http://sourceforge.net/projects/aigaion/,"{'Aigaion: A Web-based Open Source Software for Managing the Bibliographic References': {'url': 'http://eprints.rclis.org/12500/1/Aigaion_Sanjo.pdf', 'ss_id': 'd0b8f63a6bf23a322edd4e4f07e2947780c6d83c', 'citation_count': 5}}",['Multidiscipline'],['Reference Management'],"['Completely Free', 'Free Version Available']",['Document Management'],5.0,200
103,RobotAnalyst,"RobotAnalyst was developed as part of the Supporting Evidence-based Public Health Interventions using Text Mining project to support the literature screening phase of systematic reviews. RobotAnalyst is designed for searching and screening reference collections obtained from literature database queries. It combines search engine functionality with machine learning and text mining technology, including topic modelling and relevancy feedback-based text classification models, to minimise the human workload involved in identifying relevant references.",http://nactem.ac.uk/robotanalyst/,"{'Prioritising references for systematic reviews with RobotAnalyst: A user study': {'url': 'https://onlinelibrary.wiley.com/doi/10.1002/jrsm.1311', 'ss_id': 'dd6b8e78c2bd08cd200180f7aca79d7a0a86cdad', 'citation_count': 38}}",['Healthcare'],"['Text Mining', 'Machine Learning']",['Completely Free'],['Study Selection'],38.0,200
104,Pymeta,PyMeta.com is an online Meta-analysis tool website. It was created and supported with Python programing language.,http://www.pymeta.com/,{},['Healthcare'],"['Visualization', 'Other']","['Completely Free', 'Free Version Available']",['Meta Analysis'],,200
105,DistillerSR,"A web based reference screening, data extraction and reporting solution for systematic reviews.",https://www.evidencepartners.com/,"{'Effectiveness of E-Learning in Pharmacy Education': {'url': 'http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4028592/', 'ss_id': 'cc7137b8d2f15ffa5385b9d4608366810432e76b', 'citation_count': 87}, 'A systematic review of patient-reported measures of burden of treatment in three chronic diseases': {'url': 'http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3699294/', 'ss_id': '7eaa35e545a8db2c4e027ce75afaa70137700f62', 'citation_count': 88}}",['Healthcare'],"['Whole Process', 'Data Mining', 'Reference Management', 'Other']",['Payment Required'],"['Protocol Development', 'Study Selection', 'Quality Assessment', 'Data Extraction', 'Automated Analysis', 'Report Write Up', 'Collaboration', 'Document Management']",88.0,403
